date,가계신용,가계대출,판매신용
2012-10,319828.58698696055,300529.4948041221,19299.092124089122
2012-11,321860.0503369073,302427.8362190824,19432.214096486958
2012-12,322105.7179761321,302986.7712767956,19118.946779423903
2013-01,320565.5899046348,302206.2999772618,18359.29017289993
2013-02,320475.0926332843,302602.090594432,17873.002141593992
2013-03,321834.2261620808,304174.1431283062,17660.08268550608
2013-04,324642.9904910241,306922.4575788844,17720.531804636197
2013-05,326773.42210499186,308993.2226573657,17780.198980941575
2013-06,328225.5210039842,310386.43836375023,17839.084214422226
2013-07,328999.2871880012,311102.1046980381,17897.187505078135
2013-08,330847.52571800456,312689.6091330815,18157.91869893351
2013-09,333770.2365939942,315148.95166888053,18621.27779598835
2013-10,337767.41981597024,318480.13230543525,19287.264796242656
2013-11,340201.27575948654,320597.72823549743,19603.51874912424
2013-12,341071.80442454317,321501.7394590671,19570.0396546331
2014-01,340379.00581114006,321192.16597614426,19186.827512769236
2014-02,340533.1017994342,321545.6481233054,18987.45399272634
2014-03,341534.0923894255,322562.1859005504,18971.919094504414
2014-04,343381.9775811139,324241.7793078796,19140.222818103455
2014-05,345279.84069320053,326079.69317880215,19200.173585425626
2014-06,347227.6817256853,328075.92751331814,19151.771396470922
2014-07,349225.50067856826,330230.48231142754,18995.01625123935
2014-08,351916.20490786276,332848.4092773843,19067.781926501946
2014-09,355299.7944135689,335929.7084111883,19370.068422258708
2014-10,359376.26919568656,339474.37971283984,19901.87573850964
2014-11,362177.9859944511,342023.81275362277,20154.166963690142
2014-12,363704.9448098624,343578.0075335373,20126.942097800224
2015-01,363957.1456419207,344136.9640525831,19820.201140839876
2015-02,365628.5866184947,346004.30514290725,19624.306195969883
2015-03,368719.2677395845,349180.03080450965,19539.25726319024
2015-04,373229.18900519004,353664.14103739045,19565.054342500953
2015-05,377318.65264269896,357542.12206756783,19776.528680452913
2015-06,380987.658652111,360813.9738950417,20173.680277046136
2015-07,384236.20703342656,363479.69651981216,20756.509132280615
2015-08,388094.9937036856,366898.30518614565,21196.688946878774
2015-09,392564.01866288786,371069.7998940421,21494.219720840618
2015-10,397643.2819110337,375994.1806435015,21649.10145416615
2015-11,401455.4258397948,379717.9157732403,21737.509921872923
2015-12,404000.4504491712,382241.00528325816,21759.445123960933
2016-01,405278.3557391629,383563.4491735554,21714.907060430192
2016-02,407552.5456822886,385833.7564159631,21718.78952422486
2016-03,410823.0202785485,389051.9270104813,21771.09251534494
2016-04,415089.77952794236,393217.96095711004,21871.81603379043
2016-05,419234.9393693341,397255.38820093457,21979.55008805898
2016-06,423258.4998027237,401164.2087419551,22094.294678150585
2016-07,427160.4608281113,404944.42258017126,22216.049804065256
2016-08,431879.78046337486,409324.5841045968,22555.216082494982
2016-09,437416.45870851417,414304.6933152319,23111.793513439752
2016-10,443770.4955635299,419884.7502120763,23885.78209689958
2016-11,448162.83310463635,423818.25177723024,24344.617670089847
2016-12,450593.4713318335,426105.1980106936,24488.300233010566
2017-01,451062.4102451212,426745.5889124667,24316.829785661717
2017-02,452624.69031460234,428333.2036785599,24291.48413457822
2017-03,455280.3115402767,430868.0423089734,24412.263279760075
2017-04,459029.27392214467,434350.10480370716,24679.16722120728
2017-05,462633.8310260031,437663.0874496104,24970.744090663622
2017-06,466093.9828518522,440806.99024668284,25286.993888129087
2017-07,469409.7293996917,443781.81319492497,25627.91661360369
2017-08,472958.45478688285,446972.1887607917,25986.265909769572
2017-09,476740.1590134255,450378.1169442829,26362.041776626727
2017-10,480754.84207931993,453999.59774539864,26755.244214175156
2017-11,483849.2389363037,456864.5576616286,26984.68126293089
2017-12,486023.34958437644,458972.99669297255,27050.35292289393
2018-01,487277.17402353854,460324.91483943054,26952.25919406426
2018-02,489148.6068001752,462173.4337819721,26975.173015308636
2018-03,491637.6479142865,464518.55352059734,27119.094386627068
2018-04,494744.29736587254,467360.27405530616,27384.023308019536
2018-05,497496.4897261147,469806.12257925374,27690.367147103
2018-06,499894.2249950129,471856.0990924401,28038.12590387747
2018-07,501937.5031725673,473510.2035948652,28427.299578342936
2018-08,504405.8030747803,475535.0424680727,28870.760606952103
2018-09,507299.12470165215,477930.6157120624,29368.508989704966
2018-10,510617.4680531827,480696.9233268348,29920.544726601547
2018-11,512599.00868742826,482459.87469040166,30139.13399737453
2018-12,513243.7466043889,483219.46980276325,30024.276802023927
2019-01,512551.68180406495,482975.7086639194,29575.97314054973
2019-02,512945.3981009353,483618.9961787689,29326.401922518886
2019-03,514424.89549500006,485149.3323473116,29275.5631479314
2019-04,516990.1739862596,487566.7171695477,29423.456816787275
2019-05,519061.0883851299,489492.28366619593,29568.80471891079
2019-06,520637.6386916108,490926.03183725616,29711.606854301946
