date,국내총생산(시장가격 GDP),국민총소득(GNI)
1972-08,368.59346840380493,369.18234824422086
1972-09,376.5040238704031,376.7981337911284
1972-10,386.3341741255865,386.0668746053733
1972-11,395.3910810951926,394.9089038549047
1972-12,403.67474477922116,403.3242215397222
1973-01,411.1851651776724,411.31282765982655
1973-02,418.19889639403084,418.77535844498277
1973-03,424.71593842829645,425.7118138951908
1973-04,430.7362912804691,432.122194010451
1973-05,441.6641610331603,443.18314353142785
1973-06,457.4995476863704,458.8946624581211
1973-07,478.24245124009883,479.2567507905311
1973-08,491.5213386984567,492.05470978073527
1973-09,497.3362100614442,497.28853942873343
1973-10,495.6870653290609,494.95823973452593
1973-11,511.6094801491695,510.7319850100797
1973-12,545.1034545217697,544.6097752553945
1974-01,596.1689884468617,596.591610470471
1974-02,627.9336305929885,629.2183614213869
1974-03,640.3973809601498,642.490028108142
1974-04,633.560239548346,636.4066105307365
1974-05,633.4307745341356,636.8557982383326
1974-06,640.0089859175185,643.8375912309303
1974-07,653.2948736984953,657.3519895085291
1974-08,671.8201903698679,675.791596946532
1974-09,695.5849359316368,699.1564135449388
1974-10,724.5891103838013,727.4464393037497
1974-11,748.6483212089915,749.8841162656402
1974-12,767.7625684072075,766.4694444306105
1975-01,781.9318519784497,777.2024237986606
1975-02,801.1252838874229,794.1338507916778
1975-03,825.3428641341274,817.2637254096619
1975-04,854.5845927185633,846.5920476526134
1975-05,876.5315803257502,868.5550924738914
1975-06,891.1838269556871,883.1528598734959
1975-07,898.5413326083755,890.3853498514275
1975-08,910.3997095652658,902.6044599573398
1975-09,926.7589578263584,919.8101901912327
1975-10,947.6190773916533,942.0025405531068
1975-11,977.769799239237,972.073722728745
1975-12,1017.2111233691098,1010.0237367181479
1976-01,1065.9430497812718,1055.852582521315
1976-02,1110.3187440483587,1099.1703570811203
1976-03,1150.3382061703694,1139.9770603975642
1976-04,1186.0014361473052,1178.2726924706462
1976-05,1214.5911665310598,1208.417081135932
1976-06,1236.1073973216342,1230.4102263934217
1976-07,1250.5501285190267,1244.2521282431148
1976-08,1264.6232149291047,1259.023507523202
1976-09,1278.3266565518686,1274.7243642336834
1976-10,1291.660453387318,1291.3546983745587
1976-11,1311.9485625556922,1313.3462581288586
1976-12,1339.1909840569901,1340.6990434965826
1977-01,1373.3877178912135,1373.4130544777313
1977-02,1406.0461129313594,1404.08176636472
1977-03,1437.166169177427,1432.7051791575489
1977-04,1466.7478866294175,1459.2832928562184
1977-05,1500.107401020352,1491.440351638722
1977-06,1537.2447123502307,1529.1763555050597
1977-07,1578.159820619053,1572.4913044552327
