date,소비자물가등락률
2013-07,0.2
2013-08,0.4
2013-09,0.2
2013-10,-0.3
2013-11,0
2013-12,0.1
2014-01,0.5
2014-02,0.3
2014-03,0.2
2014-04,0.1
2014-05,0.2
2014-06,-0.1
2014-07,0.1
2014-08,0.2
2014-09,-0.1
2014-10,-0.3
2014-11,-0.2
2014-12,0
2015-01,0.7
2015-02,-0.1
2015-03,0
2015-04,0
2015-05,0.3
2015-06,0
2015-07,0.2
2015-08,0.1
2015-09,-0.3
2015-10,0
2015-11,-0.2
2015-12,0.3
2016-01,0.2
2016-02,0.4
2016-03,-0.3
2016-04,0.2
2016-05,0.1
2016-06,0
2016-07,-0.2
2016-08,0.3
2016-09,0.6
2016-10,0.1
2016-11,-0.1
2016-12,0.1
2017-01,1.1
2017-02,0.3
2017-03,-0.1
2017-04,-0.1
2017-05,0.1
2017-06,-0.2
2017-07,0.2
2017-08,0.6
2017-09,0.1
2017-10,-0.1
2017-11,-0.7
2017-12,0.4
2018-01,0.4
2018-02,0.8
2018-03,-0.1
2018-04,0.2
2018-05,0
2018-06,-0.2
2018-07,-0.2
2018-08,0.9
2018-09,0.8
2018-10,-0.2
2018-11,-0.7
2018-12,-0.3
2019-01,-0.1
2019-02,0.4
2019-03,-0.2
2019-04,0.4
2019-05,0.2
2019-06,-0.2
2019-07,-0.3
2019-08,0.2
2019-09,0.4
2019-10,0.2
2019-11,-0.6
2019-12,0.2
2020-01,0.4
2020-02,0.1
2020-03,-0.2
2020-04,-0.4
2020-05,-0.1
2020-06,0.3
2020-07,-0.1
2020-08,0.6
2020-09,0.5
2020-10,-0.6
2020-11,-0.1
2020-12,0.2
2021-01,0.7
2021-02,0.5
2021-03,0.3
2021-04,0.1
2021-05,0.1
2021-06,0
2021-07,0.2
2021-08,0.5
2021-09,0.4
2021-10,0.2
2021-11,0.5
2021-12,0.2
2022-01,0.8
2022-02,0.5
2022-03,0.6
2022-04,0.7
2022-05,0.6
2022-06,0.7
2022-07,0.5
2022-08,-0.1
2022-09,0.2
2022-10,0.3
2022-11,-0.1
2022-12,0.2
2023-01,0.7
2023-02,0.2
2023-03,0.2
2023-04,0.2
2023-05,0.3
2023-06,0
2023-07,0.1
2023-08,0.9
2023-09,0.5
2023-10,0.4
2023-11,-0.5
2023-12,0
2024-01,0.4
2024-02,0.5
2024-03,0.1
2024-04,0.1
2024-05,0.1
2024-06,-0.2
2024-07,0.3
2024-08,0.4
2024-09,0.1
2024-10,0
2024-11,-0.3
2024-12,0.4
2025-01,0.7
2025-02,0.3
2025-03,0.2
2025-04,0.1
2025-05,-0.1
2025-06,0
2025-07,0.2
2025-08,-0.1
2025-09,0.5
2025-10,0.3
2025-11,-0.2
2025-12,0.3
2026-01,0.4
1966-01,7.4
1966-02,8.1
1966-03,9.6
1966-04,9
1966-05,9.9
1966-06,11
1966-07,9.2
1966-08,10.3
1966-09,12.9
1966-10,16.5
1966-11,15.5
1966-12,15.3
1967-01,13.2
1967-02,11.6
1967-03,11.4
1967-04,13.2
1967-05,11.2
1967-06,9.8
1967-07,10.5
1967-08,9.6
1967-09,9.3
1967-10,8.2
1967-11,11.7
1967-12,11.5
1968-01,13.1
1968-02,13.2
1968-03,12.8
1968-04,9.8
1968-05,8.9
1968-06,10.6
1968-07,10.4
1968-08,9.7
1968-09,8.5
1968-10,9.7
1968-11,11.6
1968-12,11
1969-01,11.7
1969-02,10.7
1969-03,10.4
1969-04,11.1
1969-05,11.6
1969-06,11.5
1969-07,11.6
1969-08,11.4
1969-09,14.5
1969-10,14.4
1969-11,13
1969-12,16.3
1970-01,14.9
1970-02,16.5
1970-03,18.1
1970-04,20
1970-05,18
1970-06,15.1
1970-07,16
1970-08,16.2
1970-09,15.3
1970-10,14.5
1970-11,13
1970-12,14.4
1971-01,15.9
1971-02,15.8
1971-03,15.5
