date,총인구수,0~14세 구성비,15~64세 구성비,고령인구비율
2017-06,51736224,13.229324583100615,72.85029537524811,13.920380041651281
2017-07,51744948,13.205855381282827,72.82284059885421,13.971304019862963
2017-08,51753820,13.187716384993417,72.78957379377987,14.022709821226723
2017-09,51762492,13.167787594152152,72.76038410206371,14.071828303784137
2017-10,51769092,13.144671341734176,72.73242690831819,14.122901749947633
2017-11,51774649,13.125545283754603,72.71442052653993,14.160034189705467
2017-12,51778544,13.10574704456734,72.68739151877271,14.206861436659942
2018-01,51779148,13.077055651823393,72.66502724224044,14.257917105936158
2018-02,51779892,13.049505781124457,72.64323185533102,14.30726236354452
2018-03,51784669,13.017451168800557,72.61197903958795,14.37056979161149
2018-04,51790131,12.98782580797102,72.59898801955144,14.413186172477532
2018-05,51796179,12.964247806773546,72.56984728545324,14.465904907773217
2018-06,51801449,12.943545266465422,72.55386813600524,14.502586597529346
2018-07,51806977,12.923342352131451,72.53463177363157,14.542025874236977
2018-08,51812153,12.904339258011532,72.51084123062788,14.584819511360589
2018-09,51817851,12.870641818009782,72.49665371109273,14.63270447089749
2018-10,51821881,12.843837142847054,72.4820370761918,14.674125780961134
2018-11,51824477,12.816385971439711,72.47093299175987,14.71268103680043
2018-12,51826059,12.790110087282539,72.44818866122928,14.761701251488175
2019-01,51826287,12.756939350102392,72.42404998065943,14.81901066923818
2019-02,51829538,12.729472911759313,72.39424167740025,14.876285410840437
2019-03,51833175,12.691584106125084,72.35951878309596,14.948897110778955
2019-04,51836763,12.666390839258233,72.33755124717182,14.996057913569949
2019-05,51840339,12.644340539516918,72.29981848691229,15.055840973570794
2019-06,51842636,12.619529994578208,72.26547469538393,15.114995310037862
2019-07,51845612,12.59840466344577,72.23025933226519,15.17133600428904
2019-08,51847538,12.572944157927035,72.19295157274391,15.234104269329046
2019-09,51849253,12.544508596874095,72.15802896909624,15.297462434029665
2019-10,51850705,12.517123923387349,72.12249476646461,15.36038131014805
2019-11,51851427,12.492161498274676,72.08889737981559,15.418941121909722
2019-12,51849861,12.472303445519362,72.04662323009892,15.48107332438172
2020-01,51847509,12.441450176516678,71.98299729308114,15.575552530402184
2020-02,51844627,12.417940628640265,71.91487750504984,15.667181866309887
2020-03,51843195,12.389242213949197,71.80681861910709,15.803939166943703
2020-04,51842524,12.363456686638173,71.7626479760129,15.87389533734893
2020-05,51841371,12.338875065630498,71.71662377524699,15.94450115912251
2020-06,51839408,12.318242523139924,71.68377578694572,15.99798168991436
2020-07,51839852,12.297764661828124,71.64625585736626,16.055979480805615
2020-08,51839953,12.271658502468163,71.60348698618611,16.124854511345717
2020-09,51841786,12.246711561982066,71.55811144315129,16.19517699486665
2020-10,51838016,12.217060930726978,71.51786248918168,16.265076580091336
2020-11,51834302,12.19040048036144,71.48448338322372,16.325116136414838
2020-12,51829023,12.170129079994426,71.43736242143711,16.392508498568457
2021-01,51825932,12.135332173090491,71.38196762192332,16.482700204986184
2021-02,51824142,12.105250097531764,71.33467448433589,16.560075418132346
2021-03,51705905,12.101708692653188,71.31490880973847,16.583382497608348
2021-04,51702100,12.075111068989461,71.28225352548543,16.642635405525112
2021-05,51683025,12.049644926936843,71.2519168527771,16.69843822028606
2021-06,51672400,12.027138278849057,71.2285301243991,16.744331596751845
2021-07,51671569,12.004537737183867,71.1933907019545,16.80207156086164
2021-08,51669716,11.977847913853445,71.14919694933101,16.872955136815538
2021-09,51667688,11.946936739263425,71.1077840370949,16.94527922364167
2021-10,51662290,11.915728087159899,71.06480955451259,17.019462358327512
2021-11,51652704,11.886717489175396,71.03562864782451,17.077653863000087
2021-12,51638809,11.860354873792692,70.99937180967903,17.140273316528273
2022-01,51632473,11.819189834273482,70.94231376444046,17.238496401286067
2022-02,51625561,11.787364402684167,70.88953667738352,17.323098919932317
2022-03,51610695,11.752172684363192,70.84194661590975,17.405880699727064
2022-04,51592660,11.722192652985909,70.82496037227001,17.452846974744084
2022-05,51583722,11.690887679644366,70.79575413344543,17.513358186910207
2022-06,51578178,11.660219948056326,70.77169534759447,17.568084704349193
2022-07,51574446,11.62487135586488,70.7430846663869,17.632043977748204
2022-08,51558441,11.58853697690355,70.67160157150602,17.73986145159044
2022-09,51466658,11.566319305209209,70.64205917547629,17.791621519314504
2022-10,51459626,11.521768541419247,70.60309182969966,17.875139628881094
2022-11,51450829,11.482868429583517,70.57337015891424,17.943761411502233
2022-12,51439038,11.451602185872916,70.53233382786047,18.016063986266616
2023-01,51430018,11.406719709878383,70.48950673126345,18.103773558858176
2023-02,51421479,11.374351951253677,70.44282020748567,18.182827841260654
2023-03,51414281,11.33693574359233,70.38593421154718,18.277130044860492
2023-04,51408155,11.29944072102957,70.35148800807966,18.349071270890775
2023-05,51400521,11.268691225911894,70.3134098582386,18.41789891584951
2023-06,51392745,11.241331826116701,70.28800271322343,18.470665460659866
2023-07,51387133,11.20680735389538,70.25831349649337,18.534879149611246
2023-08,51377213,11.174259296626309,70.20040187855265,18.625338824821036
2023-09,51370001,11.133408387513951,70.15685282933906,18.709738783147
2023-10,51354226,11.098656223540395,70.10559169950298,18.795752076956624
2023-11,51337076,11.067176868429359,70.05979849728878,18.873024634281858
