date,cpi,가계신용,가계대출,판매신용,경제활동인구,비경제활동인구,취업자,실업자,실업률,고용률,경제활동참가율,소비자물가등락률,근로일수,국내총생산(시장가격 GDP),국민총소득(GNI),중위연령,평균연령,전체임금총액,전체근로일수,전체근로시간,총인구수,0~14세 구성비,15~64세 구성비,고령인구비율,자살자수
2022-07,108.73,623601.8650838059,585871.0293918562,37730.83569194977,29311.0,15946.6,28474.6,836.4,2.9,62.9,64.8,6.3,19.9,194145.0791752298,196665.07031393144,45.1,44.0,3919370.0,19.9,161.7,51574446,11.62487135586488,70.7430846663869,17.632043977748204,1124
2022-07,108.73,623601.8650838059,585871.0293918562,37730.83569194977,29311.0,15946.6,28474.6,836.4,2.9,62.9,64.8,4.9,19.9,194145.0791752298,196665.07031393144,45.1,44.0,3919370.0,19.9,161.7,51574446,11.62487135586488,70.7430846663869,17.632043977748204,1124
2022-07,108.73,623601.8650838059,585871.0293918562,37730.83569194977,29311.0,15946.6,28474.6,836.4,2.9,62.9,64.8,0.5,19.9,194145.0791752298,196665.07031393144,45.1,44.0,3919370.0,19.9,161.7,51574446,11.62487135586488,70.7430846663869,17.632043977748204,1124
2022-08,108.63,623737.3989192512,585672.0618894169,38065.33702983448,29024.5,16245.9,28410.0,614.6,2.1,62.8,64.1,5.7,20.1,193929.30034063227,196207.2718595453,45.1,44.0,3701953.0,20.1,162.9,51558441,11.58853697690355,70.67160157150602,17.73986145159044,1098
2022-08,108.63,623737.3989192512,585672.0618894169,38065.33702983448,29024.5,16245.9,28410.0,614.6,2.1,62.8,64.1,-0.1,20.1,193929.30034063227,196207.2718595453,45.1,44.0,3701953.0,20.1,162.9,51558441,11.58853697690355,70.67160157150602,17.73986145159044,1098
2022-08,108.63,623737.3989192512,585672.0618894169,38065.33702983448,29024.5,16245.9,28410.0,614.6,2.1,62.8,64.1,5.0,20.1,193929.30034063227,196207.2718595453,45.1,44.0,3701953.0,20.1,162.9,51558441,11.58853697690355,70.67160157150602,17.73986145159044,1098
2022-09,108.82,623768.7648969428,585220.386618727,38548.37827821576,29092.7,16190.8,28389.2,703.5,2.4,62.7,64.2,5.5,19.0,193810.0204841379,196021.2578265233,45.1,44.0,4084630.0,19.0,154.4,51466658,11.566319305209207,70.64205917547629,17.791621519314504,1096
2022-09,108.82,623768.7648969428,585220.386618727,38548.37827821576,29092.7,16190.8,28389.2,703.5,2.4,62.7,64.2,0.2,19.0,193810.0204841379,196021.2578265233,45.1,44.0,4084630.0,19.0,154.4,51466658,11.566319305209207,70.64205917547629,17.791621519314504,1096
2022-09,108.82,623768.7648969428,585220.386618727,38548.37827821576,29092.7,16190.8,28389.2,703.5,2.4,62.7,64.2,5.0,19.0,193810.0204841379,196021.2578265233,45.1,44.0,4084630.0,19.0,154.4,51466658,11.566319305209207,70.64205917547629,17.791621519314504,1096
2022-10,109.16,623695.9630168801,584516.0035797866,39179.959437093625,29110.0,16192.0,28417.8,692.3,2.4,62.7,64.3,5.1,18.6,193787.2396057468,196107.02821486568,45.1,44.0,3631459.0,18.6,151.0,51459626,11.521768541419249,70.60309182969966,17.875139628881094,1129
